item,category,price,stock,veg,spicy,preparation_time
Egg McMuffin,Breakfast,212.0,25,no,no,12 min
Egg White Delight,Breakfast,217.0,25,no,no,12 min
Sausage McMuffin,Breakfast,216.0,25,no,no,12 min
Sausage McMuffin with Egg,Breakfast,285.0,25,no,no,12 min
Sausage McMuffin with Egg Whites,Breakfast,292.0,25,no,no,12 min
Steak & Egg McMuffin,Breakfast,240.0,25,no,no,12 min
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",Breakfast,265.0,25,no,no,12 min
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",Breakfast,320.0,12,no,no,12 min
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",Breakfast,281.0,25,no,no,12 min
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",Breakfast,320.0,12,no,no,12 min
Sausage Biscuit (Regular Biscuit),Breakfast,233.0,25,no,no,12 min
Sausage Biscuit (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Sausage Biscuit with Egg (Regular Biscuit),Breakfast,262.0,25,no,no,12 min
Sausage Biscuit with Egg (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Sausage Biscuit with Egg Whites (Regular Biscuit),Breakfast,269.0,25,no,no,12 min
Sausage Biscuit with Egg Whites (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Southern Style Chicken Biscuit (Regular Biscuit),Breakfast,208.0,25,no,no,12 min
Southern Style Chicken Biscuit (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Steak & Egg Biscuit (Regular Biscuit),Breakfast,257.0,25,no,no,12 min
"Bacon, Egg & Cheese McGriddles",Breakfast,290.0,25,no,no,12 min
"Bacon, Egg & Cheese McGriddles with Egg Whites",Breakfast,266.0,25,no,no,12 min
Sausage McGriddles,Breakfast,218.0,25,no,no,12 min
"Sausage, Egg & Cheese McGriddles",Breakfast,292.0,25,no,no,12 min
"Sausage, Egg & Cheese McGriddles with Egg Whites",Breakfast,268.0,25,no,no,12 min
"Bacon, Egg & Cheese Bagel",Breakfast,285.0,25,no,no,12 min
"Bacon, Egg & Cheese Bagel with Egg Whites",Breakfast,261.0,25,no,no,12 min
"Steak, Egg & Cheese Bagel",Breakfast,245.0,25,no,no,12 min
Big Breakfast (Regular Biscuit),Breakfast,320.0,12,no,no,12 min
Big Breakfast (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Big Breakfast with Egg Whites (Regular Biscuit),Breakfast,320.0,12,no,no,12 min
Big Breakfast with Egg Whites (Large Biscuit),Breakfast,320.0,12,no,no,12 min
Big Breakfast with Hotcakes (Regular Biscuit),Breakfast,320.0,12,no,yes,12 min
Big Breakfast with Hotcakes (Large Biscuit),Breakfast,320.0,12,no,yes,12 min
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),Breakfast,320.0,12,no,yes,12 min
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),Breakfast,320.0,12,no,yes,12 min
Hotcakes,Breakfast,208.0,25,no,yes,12 min
Hotcakes and Sausage,Breakfast,220.0,25,no,yes,12 min
Sausage Burrito,Breakfast,215.0,25,no,no,12 min
